user_id,accuracy
1,0.389
2,0.322
3,0.478
4,0.244
5,0.456
6,0.744
7,0.756
8,0.378
9,0.722
10,0.533
11,0.489
12,0.522
13,0.200
14,0.300
15,0.378
16,0.344
17,0.756
18,0.256
19,0.456
20,0.356
21,0.422
22,0.500
23,0.478
24,0.222
25,0.533
26,0.444
27,0.433
28,0.567
29,0.522
30,0.233
31,0.367
32,0.367
33,0.344
34,0.256
35,0.233
36,0.244
37,0.789
38,0.389
39,0.289
40,0.344
41,0.478
42,0.400
43,0.244
44,0.367
45,0.333
46,0.522
47,0.478
48,0.567
49,0.278
50,0.856
51,0.267
52,0.378
53,0.267
54,0.322
55,0.400
56,0.433
57,0.456
58,0.422
59,0.444
60,0.267
61,0.344
62,0.378
63,0.344
64,0.322
65,0.544
66,0.822
67,0.367
68,0.233
69,0.411
70,0.422
71,0.311
72,0.300
73,0.589
74,0.367
75,0.367
76,0.267
77,0.467
78,0.800
79,0.256
80,0.744
81,0.411
82,0.433
83,0.311
84,0.300
85,0.344
86,0.467
87,0.678
88,0.456
89,0.422
90,0.589
91,0.211
92,0.589
93,0.344
94,0.400
95,0.456
96,0.678
97,0.256
98,0.333
99,0.511
100,0.300
101,0.400
102,0.378
103,0.289
104,0.511
105,0.344
106,0.522
107,0.400
108,0.322
109,0.278
110,0.433
111,0.911
112,0.378
113,0.567
114,1.000
115,0.467
116,0.478
117,0.367
118,0.522
119,0.256
120,0.489
121,0.278
122,0.289
123,0.567
124,0.367
125,0.400
126,0.489
127,0.344
128,0.322
129,0.722
130,0.278
131,0.633
132,0.522
133,0.300
134,0.467
135,0.378
136,0.511
137,0.356
138,0.456
139,0.344
140,0.422
141,0.211
142,0.344
143,0.311
144,0.700
145,0.456
146,0.256
147,0.289
148,0.722
149,0.422
150,0.256
151,0.233
152,0.467
153,0.378
154,0.367
155,0.300
156,0.500
157,0.422
158,0.344
159,0.233
160,0.289
161,0.244
162,0.422
163,0.267
164,0.878
165,0.233
166,0.356
167,0.378
168,0.322
169,0.400
170,0.400
171,0.533
172,0.367
173,0.444
174,0.222
175,0.267
176,0.522
177,0.867
178,0.256
179,0.322
180,0.422
181,0.400
182,0.411
183,0.356
184,0.744
185,0.322
186,0.389
187,0.922
188,0.467
189,0.378
190,0.456
191,0.333
192,0.244
193,0.222
194,0.267
195,0.200
196,0.322
197,0.556
198,0.311
199,0.578
200,0.333
201,0.433
202,0.433
203,0.211
204,0.578
205,0.211
206,0.356
207,0.600
208,0.244
209,0.344
210,0.300
211,0.444
212,0.322
213,0.278
214,0.433
215,0.389
216,0.400
217,0.322
218,0.533
219,0.322
220,0.278
221,0.322
222,0.367
223,0.411
224,0.733
225,0.244
226,0.511
227,0.344
228,0.267
229,0.289
230,0.367
231,0.300
232,0.333
233,0.333
234,0.344
235,0.367
236,0.878
237,0.378
238,0.356
239,0.667
240,0.333
241,1.000
242,0.567
243,0.333
244,0.378
245,0.444
246,0.222
247,0.500
248,0.367
249,0.278
250,0.422
251,0.489
252,0.467
253,0.633
254,0.556
255,0.267
256,0.489
257,0.300
258,0.378
259,0.256
260,0.378
261,0.244
262,0.389
263,0.500
264,0.289
265,0.922
266,0.411
267,0.289
268,0.433
269,0.211
270,0.378
271,0.478
272,0.444
273,0.389
274,0.389
275,0.633
276,0.500
277,0.933
278,0.644
279,0.233
280,0.267
281,0.411
282,0.267
283,0.344
284,0.500
285,0.244
286,0.400
287,0.489
288,0.489
289,0.400
290,0.411
291,0.233
292,0.367
293,0.233
294,0.378
295,0.267
296,0.378
297,0.356
298,0.400
299,0.422
300,0.256
301,0.722
302,0.478
303,0.744
304,0.200
305,0.444
306,0.356
307,0.533
308,0.411
309,0.933
310,0.367
311,0.411
312,0.389
313,0.356
314,0.422
315,0.244
316,0.278
317,0.322
318,0.344
319,0.333
320,0.489
321,0.856
322,0.556
323,0.267
324,0.433
325,0.533
326,0.522
327,0.556
328,0.211
329,0.322
330,0.333
331,0.267
332,0.378
333,0.767
334,0.422
335,0.667
336,0.356
337,0.256
338,0.456
339,0.478
340,0.344
341,0.456
342,0.300
343,0.244
344,0.411
345,0.333
346,0.422
347,0.500
348,0.422
349,0.411
350,0.422
351,0.367
352,0.367
353,0.278
354,0.278
355,0.367
356,0.367
357,0.456
358,0.289
Average,0.416
